Variety	Biomass_S12_WD	Biomass_S13_WD	Biomass_S16_WD	Biomass_W13_WD	Biomass_S12_WW	Biomass_S13_WW	Biomass_S16_WW	Biomass_W13_WW
Lo1274	214.744547	270.3691128	218.0881039	197.0963838	258.6082685	331.9572231	363.3145875	343.8269663
Lo1280	199.8487829	228.2235267	193.1966827	209.4292115	215.9341121	229.3376192	325.2041056	266.5811213
Lo1284	191.3075427	213.2630593	227.4747347	220.6949701	300.0196928	247.2656492	309.3415843	255.8282713
Lo1288	182.2630125	251.1844467	186.5022141	168.3918456	218.5306748	254.4837878	293.4534862	229.6665684
Lo1290	193.6848934	254.661702	217.098852	190.362939	232.7149335	350.0369854	361.5174477	331.1510499
Lo1301	184.705472	216.469328	205.2863235	216.6706324	262.4619656	245.3781764	254.9478838	343.6384984
Lo904	188.1044925	244.5336038	213.6220843	226.527106	253.8877142	291.6332219	301.0927577	319.3257986
Lp5	191.7354882	244.011817	181.7798453	229.0605285	294.9816795	336.4574966	327.2087642	365.5863244
ML606	179.925177	271.4899927	217.1792917	259.7750272	291.4031899	345.7092119	351.5178952	352.8876359
Mo15W	158.2057162	284.3411917	228.3170665	235.9718805	210.9301238	227.2798513	307.4788765	245.9171034
Mo17	193.0580978	212.5577915	193.6274547	213.3964067	262.518859	276.1784075	285.9154274	326.8116221
MS153	211.4030306	259.7629796	244.709591	232.1455117	313.2143689	302.2206143	375.5327385	384.7632906
MS71	213.815012	227.18562	202.4361943	193.4833486	258.6536368	287.3259497	318.2346627	324.9732848
N16	146.7717917	185.5534862	189.3056811	191.5057424	238.446067	227.2056165	229.8816198	307.2928274
N192	201.1910424	245.2063105	212.403917	211.3154829	259.8975034	282.9549037	283.9581447	275.8811543
N22	152.8488766	183.3931807	169.2869673	184.7856626	250.5888548	224.5721772	315.7176192	250.8700612
N25	172.1464194	244.5226226	193.2282643	126.880627	247.5373657	268.5500844	309.3768319	251.4095666
N6	202.2525313	228.1906904	207.6514408	188.8501162	271.0816781	286.6366752	320.8580735	343.0703105
NC290	167.325821	226.7029515	204.7683499	177.4875106	252.7688863	284.589874	316.4959979	272.7372532
NC358	199.635145	240.2248082	209.6612574	227.3597505	249.4277905	273.4728568	326.1658906	333.6670611
NDB8	134.1627901	225.0887864	210.9827715	171.5253715	221.3129614	207.5239224	290.904378	268.6400884
NK764	193.3022688	217.1639515	201.0059218	210.6433572	236.5407972	265.4680793	291.6475844	252.9847139
NK807	226.7278788	244.6612334	227.6071495	231.3950169	304.1256384	325.4053027	393.0071731	328.4024132
NQ508	207.7332866	246.7351448	195.5946779	232.2711813	254.7241972	306.6327614	387.8818899	323.7207468
NS701	207.5436507	274.6135407	229.1136256	255.5089297	265.8131308	318.1214246	306.3732981	350.6248258
Oh02	212.5924257	266.4968392	191.0957543	164.4249996	234.3165269	287.6048293	320.3402684	352.3255414
Oh33	235.623785	288.0186351	229.6510631	269.0752341	314.6020643	359.5888499	462.6324132	370.3671938
Oh40B	213.1174433	284.2731266	218.5375035	229.8543724	333.6828667	345.8350992	355.9186462	387.3502119
Oh43	277.0832733	277.537062	222.5557928	203.9122269	296.7266946	332.4596083	363.8482063	388.3170043
Os426	207.9829456	264.1902405	236.0411697	220.5763232	293.7230966	330.7462936	335.8940297	377.2234997
P465P	202.5253942	315.6551131	204.6499483	246.6052239	279.6699358	298.2483769	298.0608221	352.6330317
Pa36	205.4309269	254.2447055	208.5151457	189.5523135	278.3657829	263.5747723	304.5939229	312.1229836
