Variety	Biomass	ENV	Treatment	Season	ENV_Biomass
W182E	262.8939518	WD_S13	WD	S13	243.5
W23	255.2133977	WD_S13	WD	S13	243.5
W602S	181.4982514	WD_S13	WD	S13	243.5
W604S	241.421443	WD_S13	WD	S13	243.5
W64A	215.1298187	WD_S13	WD	S13	243.5
W9	224.7318211	WD_S13	WD	S13	243.5
W95115	238.3709051	WD_S13	WD	S13	243.5
Wf9	320.1727296	WD_S13	WD	S13	243.5
11430	200.6650216	WD_S16	WD	S16	210.3
A3	190.4735171	WD_S16	WD	S16	210.3
A310	224.59566	WD_S16	WD	S16	210.3
A347	192.4857508	WD_S16	WD	S16	210.3
A374	223.5206076	WD_S16	WD	S16	210.3
A375	207.9975116	WD_S16	WD	S16	210.3
A554	187.2883577	WD_S16	WD	S16	210.3
AS5707	218.5804828	WD_S16	WD	S16	210.3
B100	201.4958854	WD_S16	WD	S16	210.3
B104	206.1710691	WD_S16	WD	S16	210.3
B105	211.7837925	WD_S16	WD	S16	210.3
B106	241.5173297	WD_S16	WD	S16	210.3
B107	160.9524314	WD_S16	WD	S16	210.3
B108	221.4778917	WD_S16	WD	S16	210.3
B109	191.8403496	WD_S16	WD	S16	210.3
B110	202.9963261	WD_S16	WD	S16	210.3
B113	190.7693187	WD_S16	WD	S16	210.3
B37	213.7926373	WD_S16	WD	S16	210.3
B73	191.7932449	WD_S16	WD	S16	210.3
B84	224.8823416	WD_S16	WD	S16	210.3
B89	219.9861765	WD_S16	WD	S16	210.3
B97	215.7858648	WD_S16	WD	S16	210.3
B98	189.5186689	WD_S16	WD	S16	210.3
C103	227.0873319	WD_S16	WD	S16	210.3
CO109	255.1553117	WD_S16	WD	S16	210.3
CR1Ht	211.7652502	WD_S16	WD	S16	210.3
D09	228.9561072	WD_S16	WD	S16	210.3
DE811	171.7351531	WD_S16	WD	S16	210.3
DK4676A	174.1514958	WD_S16	WD	S16	210.3
DK78010	172.9005321	WD_S16	WD	S16	210.3
DK78371A	188.484172	WD_S16	WD	S16	210.3
DKFAPW	257.5847591	WD_S16	WD	S16	210.3
DKFBHJ	220.6335801	WD_S16	WD	S16	210.3
DKIBO2	225.8449403	WD_S16	WD	S16	210.3
DKMBST	231.4551169	WD_S16	WD	S16	210.3
EA1027	241.9509744	WD_S16	WD	S16	210.3
