Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
Lo1251	51.8599641	53.06293612	68.20424448	74.00353694	67.03806506	51.68427641	82.4302006	86.22942193
Lo1253	51.17965258	45.62703977	69.19280265	78.93632737	69.18982766	51.41986779	78.65639669	82.81590824
Lo1261	54.93383165	50.29068102	69.19103138	83.93179336	62.05748889	52.82307086	80.03677286	79.78683555
Lo1266	50.90665525	46.35188048	71.27944248	84.04326447	64.24311867	46.2963428	78.19142184	79.57433451
Lo1270	51.79748853	53.24683659	72.47651513	81.5122483	69.61403941	54.53653811	96.99863711	87.42132234
Lo1273	55.79157145	50.09807031	69.9424844	74.51791809	62.4738487	48.61449072	89.09455933	85.84844853
Lo1274	56.5709202	48.2318525	75.41947308	76.91611797	63.3306627	58.92166181	80.62753391	90.7764983
Lo1280	51.48873037	49.09630031	71.56627756	77.50684699	60.81880433	49.05167329	82.49251934	87.40684231
Lo1284	49.29284905	40.52372041	69.22280919	75.59550547	59.15038296	48.75432003	77.91578421	71.44285559
Lo1288	58.89416026	60.56786418	84.10831414	88.47740722	69.24583201	51.76905171	92.3442649	93.15005908
Lo1290	49.52802915	45.96383186	68.20768711	66.92073552	54.72713859	49.55504381	80.04680595	68.24833826
Lo1301	49.49855788	47.34002392	68.54150716	79.21403428	65.39357241	50.99086873	77.83372863	85.5262338
Lo904	49.50502431	48.86471098	68.41580087	80.48528722	64.01167058	54.62280476	78.66565628	83.66333527
Lp5	48.41269344	47.30257697	66.42648393	80.39104416	62.1829868	48.22864001	73.40928602	73.8311409
ML606	55.19737344	43.56192955	68.24300858	78.41360398	69.06318987	46.75899186	83.08157017	87.69362355
Mo15W	95.86901878	58.84363779	73.41817466	84.69807454	72.92538693	49.48487604	81.19290046	86.54084991
Mo17	58.17025781	51.93487012	65.92800513	62.87299686	61.30469739	51.6999709	81.61258758	71.27422048
MS153	65.62286741	54.85579468	74.66050508	67.86477961	69.40414939	54.0982675	85.89088688	88.0267435
MS71	51.44237374	45.621888	65.76233262	72.46758607	68.26332601	49.04994727	76.56900843	93.83145735
N16	58.28074906	52.86165956	68.17204702	79.8879147	66.80545135	53.325418	84.70016064	87.99367647
N192	54.60166859	47.28699853	67.82841958	74.5000216	59.88696881	51.17039531	64.93310846	78.48670211
N22	54.43149406	48.34041721	67.72296214	70.2223551	64.88645644	57.66227693	75.3355423	69.42826825
N25	44.29172428	48.53529106	69.92219379	73.15727354	59.23908635	46.80584126	77.93321244	77.032969
N6	67.75530317	55.87587784	68.84480817	74.4852501	74.43798432	55.95115583	89.50623589	95.45869259
NC290	59.85700315	56.72378546	71.70210341	74.95350764	67.67788256	52.79971413	96.43241035	85.2481763
NC358	64.98192728	48.34603102	71.45989936	76.74929705	65.66777978	47.36425055	82.1716769	92.67948123
NDB8	62.94766788	53.81311954	78.61740212	76.84288495	71.7327752	47.03917581	97.36720074	90.39363516
NK764	52.37288489	48.3944652	64.14851855	71.42053402	56.62511528	47.832337	72.16963853	75.95479015
NK807	63.06207534	43.47283331	77.24137673	81.79520346	72.48941841	51.99910305	85.528185	79.67728101
NQ508	63.20916792	48.1637907	71.47025842	76.78730582	65.31192348	51.61377912	86.94783743	86.75901379
NS701	50.11983235	47.72455064	70.45231925	74.38904037	62.13208454	49.66785943	75.93315197	74.76535626
Oh02	63.94078468	56.29429206	78.40279119	79.64789543	68.35807387	48.73566192	91.19950578	92.59577923
Oh33	53.20404354	53.28180468	70.31012814	86.86103475	73.11203742	60.14840318	89.13449858	104.6113899
Oh40B	53.79538495	51.26549071	77.83297326	82.66611749	66.18946043	51.92545872	85.47446884	89.01673406
Oh43	56.17766301	50.19448748	72.54940899	54.96295161	66.9028706	50.94270347	84.38618153	65.23974892
Os426	49.99467907	47.0194689	64.02507465	80.85392224	66.86029264	54.16123082	71.00083709	90.80133757
P465P	51.54062042	53.46528336	71.88869379	79.69185404	67.1341564	51.78823809	81.58228326	97.57287884
Pa36	51.55530741	48.29453193	73.28386551	73.81194754	64.40089835	56.0409008	82.4894745	78.3883565
Pa405	63.14203876	51.24304405	72.21776892	84.19945786	73.50868978	50.31789607	96.09740562	92.36626433
Pa91	51.16227377	49.42603237	76.25964686	79.4203563	56.81581018	52.91763639	90.76143528	85.11493673
PB116	53.22886516	53.05534751	68.02211971	84.30122916	70.08358965	55.25908663	87.74139717	87.84015138
PB98TR	64.04520414	54.97577788	77.43298431	82.85879751	71.42389096	59.99443619	84.11867701	92.88844302
PH207	83.14524634	46.34523916	63.47447884	71.74299657	58.9594094	50.56438905	79.19483178	74.94661065
PHB09	55.86048851	52.44479074	67.02506602	83.98425861	65.61932482	58.29194742	80.66521092	80.66561164
PHG35	59.25997135	46.78708119	64.00378377	72.48415595	60.72997454	44.95360515	77.19649578	74.81954279
PHG39	59.95834276	43.96538976	73.34465206	69.38988704	60.48855295	49.04630781	74.75186695	82.22503228
PHG47	54.64237056	52.52178728	70.63078188	80.76649522	68.08943665	53.10022166	90.25701054	87.1977207
PHG50	54.15880539	46.99309439	63.39811283	69.6528235	69.01974299	49.48114973	81.37987348	83.04477271
PHG71	53.39103769	49.57807923	67.65120915	69.4918618	64.03574898	45.62855482	71.62732138	86.88614868
PHG80	60.6042687	55.4276947	76.18838022	79.46065488	72.92699825	51.67973454	84.772035	84.90902436
PHG84	51.96529934	44.71199425	72.79886299	69.80422824	58.78398976	46.25307682	75.59656751	84.23982395
PHG86	55.49469235	53.38071681	65.68943538	72.63570557	64.86874755	51.85463763	87.62107399	81.79255818
PHH93	63.77920407	47.02551172	66.63408561	73.81604896	64.47468729	51.61123361	82.9052769	82.7779453
PHJ40	50.84495552	55.13605099	67.98752614	85.46587548	65.87373698	51.83051891	69.55779238	92.47641793
PHK29	41.2914995	52.64716727	67.20710212	73.89476729	58.93650173	47.14770667	75.20573572	73.90725242
PHK76	56.15762314	57.91956066	68.33765321	81.31093328	61.21549244	48.0515634	86.59689601	81.39006839
PHR36	53.54181093	50.7892704	70.47512979	73.71268072	64.1740439	57.23144349	81.70576747	85.87178717
PHT77	54.35778962	51.1625336	67.52425471	80.12415319	58.74458774	49.69065478	88.93129912	83.80356077
PHV63	56.89872746	56.20804662	79.69358642	80.7261235	71.35617469	52.94859669	97.72862672	80.25549267
PHW65	62.78019054	50.45170329	69.75389528	78.20560444	59.07345054	46.18749033	80.51652234	84.69107812
PHZ51	54.41229057	50.21647633	68.3456685	77.92321823	66.32277422	67.8686471	81.37610663	97.13960132
SC-Malawi	54.76370497	57.74191355	66.06819761	90.09286292	64.96422569	60.67305724	84.20568629	96.68965967
SGI061	57.00390499	46.57012071	72.19528969	77.38404174	66.07488368	48.93737777	83.1932028	74.9531173
