Variety	Leaf_area_S12_WD	Leaf_area_S13_WD	Leaf_area_S16_WD	Leaf_area_W13_WD	Leaf_area_S12_WW	Leaf_area_S13_WW	Leaf_area_S16_WW	Leaf_area_W13_WW
UH_S025	0.263064125	0.418298192	0.339115106	0.339520904	0.372839757	0.494247627	0.472059938	0.439144556
UH250	0.327439374	0.354733867	0.289523056	0.310805116	0.385223151	0.467722173	0.413255053	0.435749527
UH304	0.167014758	0.359947644	0.262836475	0.28	0.251322407	0.362216722	0.447328449	0.335412554
Va26	0.30930114	0.414615165	0.323384146	0.320006354	0.384154855	0.4989324	0.464682608	0.409813665
W117	0.281559903	0.409232648	0.289554235	0.370373295	0.343686593	0.42896077	0.403467537	0.409186469
W153R	0.258977418	0.384034393	0.297555456	0.303630431	0.323288774	0.445200491	0.451740242	0.382703
W182E	0.271273323	0.389221272	0.306936316	0.325617057	0.303912485	0.407860241	0.406191592	0.417057103
W23	0.283244296	0.384636062	0.295927036	0.295558514	0.318304307	0.361660233	0.418832826	0.383300921
W602S	0.264937337	0.319651884	0.25993482	0.285633238	0.293095321	0.346459889	0.340303249	0.380307781
W604S	0.290073218	0.347249753	0.277958635	0.267843473	0.343516293	0.387772705	0.431968583	0.347874456
W64A	0.293593424	0.347557228	0.227109137	0.279586566	0.299326338	0.383631402	0.398333959	0.3389075
W9	0.155590994	0.342265235	0.21183119	0.26701849	0.23589677	0.370337284	0.327486208	0.352837335
W95115	0.256410216	0.380586097	0.246530891	0.301239026	0.341104202	0.440826997	0.439828268	0.421406344
Wf9	0.275183364	0.467265794	0.258638467	0.340065505	0.30934103	0.414564338	0.418238188	0.425274753
