Variety	Biomass	LAl	WUE	Season	Treatment
NK764	217.1639515	0.349158972	48.3944652	S13	WD
NK807	244.6612334	0.386030942	43.47283331	S13	WD
NQ508	246.7351448	0.364266581	48.1637907	S13	WD
NS701	274.6135407	0.392597144	47.72455064	S13	WD
Oh02	266.4968392	0.404672503	56.29429206	S13	WD
Oh33	288.0186351	0.381458132	53.28180468	S13	WD
Oh40B	284.2731266	0.39769132	51.26549071	S13	WD
Oh43	277.537062	0.421362526	50.19448748	S13	WD
Os426	264.1902405	0.422514579	47.0194689	S13	WD
P465P	315.6551131	0.429868667	53.46528336	S13	WD
Pa36	254.2447055	0.386617549	48.29453193	S13	WD
Pa405	253.6198973	0.366866247	51.24304405	S13	WD
Pa91	243.6481335	0.351580153	49.42603237	S13	WD
PB116	207.7684208	0.33235344	53.05534751	S13	WD
PB98TR	269.2579463	0.378475413	54.97577788	S13	WD
PH207	197.7278308	0.325955323	46.34523916	S13	WD
PHB09	271.7519684	0.365358076	52.44479074	S13	WD
PHG35	216.014066	0.335188266	46.78708119	S13	WD
PHG39	265.5509754	0.415598373	43.96538976	S13	WD
PHG47	234.1969404	0.34669696	52.52178728	S13	WD
PHG50	235.0509543	0.3591995	46.99309439	S13	WD
PHG71	259.2345369	0.391071504	49.57807923	S13	WD
PHG80	251.2515247	0.370406588	55.4276947	S13	WD
PHG84	227.9489236	0.374564916	44.71199425	S13	WD
PHG86	208.797306	0.329439586	53.38071681	S13	WD
PHH93	225.6288056	0.34747961	47.02551172	S13	WD
PHJ40	245.153806	0.361072417	55.13605099	S13	WD
PHK29	257.0257574	0.390617218	52.64716727	S13	WD
PHK76	228.9896057	0.329642448	57.91956066	S13	WD
PHR36	239.5441378	0.366488918	50.7892704	S13	WD
PHT77	268.207345	0.390562031	51.1625336	S13	WD
PHV63	235.6076741	0.359517854	56.20804662	S13	WD
PHW65	186.4646076	0.331900955	50.45170329	S13	WD
PHZ51	263.6665002	0.412080806	50.21647633	S13	WD
SC-Malawi	337.9829087	0.439518048	57.74191355	S13	WD
SGI061	235.6270105	0.352843345	46.57012071	S13	WD
UH_2500	242.7529788	0.376260318	43.54635619	S13	WD
UH_6102	275.1506764	0.39025906	45.76637603	S13	WD
UH_6179	257.5866991	0.381605571	44.58115069	S13	WD
UH_P060	280.4440483	0.429778649	42.18945372	S13	WD
UH_P064	234.8824571	0.402586792	40.22900367	S13	WD
UH_P074	207.2611223	0.297660992	47.25518541	S13	WD
UH_P087	227.9187909	0.351115467	41.64826761	S13	WD
UH_P089	237.4979353	0.386704017	43.84612656	S13	WD
UH_P104	253.876391	0.432998934	35.231694	S13	WD
UH_P115	237.6371737	0.456260757	42.82584358	S13	WD
UH_P128	222.3816075	0.345957801	43.46729987	S13	WD
UH_P148	229.0616743	0.384738379	45.20907804	S13	WD
UH_S018	235.2586355	0.357803913	54.52345982	S13	WD
UH_S020	286.3828174	0.388993478	48.19648709	S13	WD
UH_S025	291.5055967	0.418298192	52.8096114	S13	WD
UH250	250.310989	0.354733867	48.24573032	S13	WD
UH304	224.6879254	0.359947644	42.36681506	S13	WD
Va26	273.5939672	0.414615165	51.37970658	S13	WD
W117	248.3224691	0.409232648	46.17645021	S13	WD
W153R	215.1414374	0.384034393	40.07257237	S13	WD
W182E	262.8939518	0.389221272	53.66095451	S13	WD
W23	255.2133977	0.384636062	48.02771742	S13	WD
W602S	181.4982514	0.319651884	43.80637372	S13	WD
W604S	241.421443	0.347249753	53.51141815	S13	WD
W64A	215.1298187	0.347557228	47.62345152	S13	WD
W9	224.7318211	0.342265235	52.43068312	S13	WD
W95115	238.3709051	0.380586097	46.53311617	S13	WD
