tag,score_i,score_j,k,overlap,overlap_frac
full_res10,D_slope,SI,20,14,0.7
full_res10,D_slope,RSI,3,0,0
full_res10,D_slope,RSI,5,0,0
full_res10,D_slope,RSI,10,0,0
full_res10,D_slope,RSI,15,0,0
full_res10,D_slope,RSI,20,0,0
full_res10,D_slope,EVS,3,1,0.3333333333333333
full_res10,D_slope,EVS,5,2,0.4
full_res10,D_slope,EVS,10,7,0.7
full_res10,D_slope,EVS,15,13,0.8666666666666667
full_res10,D_slope,EVS,20,19,0.95
full_res10,RC,gPi,3,2,0.6666666666666666
full_res10,RC,gPi,5,5,1
full_res10,RC,gPi,10,7,0.7
full_res10,RC,gPi,15,11,0.7333333333333333
full_res10,RC,gPi,20,20,1
full_res10,RC,PPF,3,0,0
full_res10,RC,PPF,5,1,0.2
full_res10,RC,PPF,10,5,0.5
full_res10,RC,PPF,15,11,0.7333333333333333
full_res10,RC,PPF,20,17,0.85
full_res10,RC,PPi,3,2,0.6666666666666666
full_res10,RC,PPi,5,2,0.4
full_res10,RC,PPi,10,6,0.6
full_res10,RC,PPi,15,10,0.6666666666666666
full_res10,RC,PPi,20,17,0.85
full_res10,RC,PImd,3,2,0.6666666666666666
full_res10,RC,PImd,5,2,0.4
full_res10,RC,PImd,10,6,0.6
full_res10,RC,PImd,15,10,0.6666666666666666
full_res10,RC,PImd,20,17,0.85
full_res10,RC,PILSM,3,2,0.6666666666666666
full_res10,RC,PILSM,5,2,0.4
full_res10,RC,PILSM,10,6,0.6
full_res10,RC,PILSM,15,10,0.6666666666666666
full_res10,RC,PILSM,20,17,0.85
full_res10,RC,RTR,3,0,0
full_res10,RC,RTR,5,1,0.2
full_res10,RC,RTR,10,3,0.3
full_res10,RC,RTR,15,6,0.4
full_res10,RC,RTR,20,7,0.35
full_res10,RC,PIR,3,2,0.6666666666666666
full_res10,RC,PIR,5,3,0.6
full_res10,RC,PIR,10,6,0.6
full_res10,RC,PIR,15,9,0.6
full_res10,RC,PIR,20,16,0.8
full_res10,RC,RDPI,3,3,1
full_res10,RC,RDPI,5,3,0.6
full_res10,RC,RDPI,10,8,0.8
full_res10,RC,RDPI,15,12,0.8
full_res10,RC,RDPI,20,19,0.95
full_res10,RC,ESPI,3,1,0.3333333333333333
full_res10,RC,ESPI,5,1,0.2
full_res10,RC,ESPI,10,3,0.3
full_res10,RC,ESPI,15,4,0.26666666666666666
full_res10,RC,ESPI,20,8,0.4
full_res10,RC,ESPIID,3,0,0
full_res10,RC,ESPIID,5,0,0
full_res10,RC,ESPIID,10,2,0.2
full_res10,RC,ESPIID,15,5,0.3333333333333333
full_res10,RC,ESPIID,20,10,0.5
full_res10,RC,PSI,3,0,0
full_res10,RC,PSI,5,0,0
full_res10,RC,PSI,10,1,0.1
full_res10,RC,PSI,15,2,0.13333333333333333
full_res10,RC,PSI,20,6,0.3
full_res10,RC,RPI,3,3,1
full_res10,RC,RPI,5,3,0.6
full_res10,RC,RPI,10,8,0.8
full_res10,RC,RPI,15,12,0.8
full_res10,RC,RPI,20,19,0.95
full_res10,RC,PQ,3,1,0.3333333333333333
full_res10,RC,PQ,5,1,0.2
full_res10,RC,PQ,10,3,0.3
full_res10,RC,PQ,15,4,0.26666666666666666
full_res10,RC,PQ,20,8,0.4
full_res10,RC,PR,3,1,0.3333333333333333
full_res10,RC,PR,5,1,0.2
full_res10,RC,PR,10,3,0.3
full_res10,RC,PR,15,4,0.26666666666666666
full_res10,RC,PR,20,8,0.4
full_res10,RC,NRW,3,1,0.3333333333333333
full_res10,RC,NRW,5,1,0.2
full_res10,RC,NRW,10,3,0.3
full_res10,RC,NRW,15,4,0.26666666666666666
full_res10,RC,NRW,20,8,0.4
full_res10,RC,ESP,3,3,1
full_res10,RC,ESP,5,5,1
full_res10,RC,ESP,10,10,1
full_res10,RC,ESP,15,14,0.9333333333333333
full_res10,RC,ESP,20,20,1
full_res10,RC,CEV,3,2,0.6666666666666666
full_res10,RC,CEV,5,5,1
full_res10,RC,CEV,10,7,0.7
full_res10,RC,CEV,15,11,0.7333333333333333
full_res10,RC,CEV,20,20,1
full_res10,RC,PFI,3,0,0
full_res10,RC,PFI,5,2,0.4
full_res10,RC,PFI,10,3,0.3
full_res10,RC,PFI,15,5,0.3333333333333333
full_res10,RC,PFI,20,13,0.65
full_res10,RC,APC,3,0,0
full_res10,RC,APC,5,0,0
full_res10,RC,APC,10,0,0
full_res10,RC,APC,15,2,0.13333333333333333
full_res10,RC,APC,20,8,0.4
full_res10,RC,SI,3,2,0.6666666666666666
full_res10,RC,SI,5,2,0.4
full_res10,RC,SI,10,5,0.5
full_res10,RC,SI,15,9,0.6
full_res10,RC,SI,20,15,0.75
full_res10,RC,RSI,3,0,0
full_res10,RC,RSI,5,0,0
full_res10,RC,RSI,10,0,0
full_res10,RC,RSI,15,0,0
full_res10,RC,RSI,20,0,0
full_res10,RC,EVS,3,1,0.3333333333333333
full_res10,RC,EVS,5,1,0.2
full_res10,RC,EVS,10,3,0.3
full_res10,RC,EVS,15,4,0.26666666666666666
full_res10,RC,EVS,20,10,0.5
full_res10,gPi,PPF,3,0,0
full_res10,gPi,PPF,5,1,0.2
full_res10,gPi,PPF,10,7,0.7
full_res10,gPi,PPF,15,11,0.7333333333333333
full_res10,gPi,PPF,20,17,0.85
full_res10,gPi,PPi,3,2,0.6666666666666666
full_res10,gPi,PPi,5,2,0.4
full_res10,gPi,PPi,10,7,0.7
full_res10,gPi,PPi,15,13,0.8666666666666667
full_res10,gPi,PPi,20,17,0.85
full_res10,gPi,PImd,3,2,0.6666666666666666
full_res10,gPi,PImd,5,2,0.4
full_res10,gPi,PImd,10,7,0.7
full_res10,gPi,PImd,15,13,0.8666666666666667
full_res10,gPi,PImd,20,17,0.85
full_res10,gPi,PILSM,3,2,0.6666666666666666
full_res10,gPi,PILSM,5,2,0.4
full_res10,gPi,PILSM,10,7,0.7
full_res10,gPi,PILSM,15,13,0.8666666666666667
full_res10,gPi,PILSM,20,17,0.85
full_res10,gPi,RTR,3,0,0
full_res10,gPi,RTR,5,1,0.2
full_res10,gPi,RTR,10,3,0.3
full_res10,gPi,RTR,15,3,0.2
full_res10,gPi,RTR,20,7,0.35
full_res10,gPi,PIR,3,2,0.6666666666666666
full_res10,gPi,PIR,5,3,0.6
full_res10,gPi,PIR,10,7,0.7
full_res10,gPi,PIR,15,9,0.6
full_res10,gPi,PIR,20,16,0.8
full_res10,gPi,RDPI,3,2,0.6666666666666666
full_res10,gPi,RDPI,5,3,0.6
full_res10,gPi,RDPI,10,8,0.8
full_res10,gPi,RDPI,15,13,0.8666666666666667
full_res10,gPi,RDPI,20,19,0.95
full_res10,gPi,ESPI,3,0,0
full_res10,gPi,ESPI,5,1,0.2
full_res10,gPi,ESPI,10,4,0.4
full_res10,gPi,ESPI,15,6,0.4
full_res10,gPi,ESPI,20,8,0.4
full_res10,gPi,ESPIID,3,0,0
full_res10,gPi,ESPIID,5,0,0
